vehicle_id,lat,lon,direction,timestamp,stop_sequence,trip_id,route_id,agency
y1269,42.307477,-71.08371,1,2026-03-31 17:11:40,20,73766530,28,MBTA
y1265,42.27433,-71.09347,1,2026-03-31 17:11:36,5,73766494,28,MBTA
y1263,42.33575,-71.08972,0,2026-03-31 17:11:31,2,73766437,28,MBTA
y1253,42.310212,-71.083073,0,2026-03-31 17:11:46,15,73766436,28,MBTA
y1251,42.32958,-71.0863,0,2026-03-31 17:11:27,5,73766432,28,MBTA
y1224,42.282337,-71.092239,0,2026-03-31 17:11:44,27,73766439,28,MBTA
y1217,42.305711,-71.08467,0,2026-03-31 17:11:13,17,73766458,28,MBTA
y1210,42.270213,-71.093873,0,2026-03-31 17:11:38,32,73766474,28,MBTA
y1209,42.299683,-71.086562,0,2026-03-31 17:11:46,20,73766435,28,MBTA
y1207,42.329008,-71.083416,1,2026-03-31 17:11:44,31,73766606,28,MBTA
y1201,42.296339,-71.087371,1,2026-03-31 17:11:44,15,73766512,28,MBTA
y1268,42.333608,-71.105868,1,2026-03-31 17:11:32,15,73767393,39,MBTA
y1262,42.33507,-71.06461,0,2026-03-31 17:11:38,1,73767335,39,MBTA
y1261,42.349754,-71.074671,0,2026-03-31 17:11:39,1,73767338,39,MBTA
y1260,42.349233,-71.076977,0,2026-03-31 17:11:44,3,73767334,39,MBTA
y1259,42.340723,-71.087938,1,2026-03-31 17:11:44,21,73767383,39,MBTA
y1257,42.30982,-71.115363,0,2026-03-31 17:11:42,22,73767341,39,MBTA
y1254,42.317335,-71.113234,0,2026-03-31 17:11:36,19,73767340,39,MBTA
y1252,42.334429,-71.104385,0,2026-03-31 17:11:43,11,73767339,39,MBTA
y1250,42.312226,-71.114175,1,2026-03-31 17:11:43,5,73767371,39,MBTA
y1219,42.348086,-71.07392,1,2026-03-31 17:11:44,26,73767336,39,MBTA
y1218,42.29955,-71.1144,1,2026-03-31 17:10:07,1,73767355,39,MBTA
y1216,42.303086,-71.114629,1,2026-03-31 17:11:42,2,73767369,39,MBTA
y1206,42.305743,-71.114868,0,2026-03-31 17:11:44,24,73767343,39,MBTA
y3292,42.350601,-71.168813,0,2026-03-31 17:11:42,23,73584679,57,MBTA
y3288,42.3505973815918,-71.11071014404297,0,2026-03-31 17:11:36,6,73584683,57,MBTA
y3287,42.362642,-71.1859,0,2026-03-31 17:11:41,32,73584674,57,MBTA
y3284,42.34906005859375,-71.09539031982422,0,2026-03-31 17:11:41,1,73584682,57,MBTA
y3259,42.35715866088867,-71.1838607788086,0,2026-03-31 17:11:40,30,73584678,57,MBTA
y3256,42.356137,-71.184265,1,2026-03-31 17:11:28,5,73584666,57,MBTA
y3254,42.35129,-71.116101,0,2026-03-31 17:11:36,6,73584681,57,MBTA
y3253,42.34895324707031,-71.09586334228516,0,2026-03-31 17:11:37,1,73584684,57,MBTA
y3223,42.349174,-71.158216,1,2026-03-31 17:11:43,16,73584662,57,MBTA
y3222,42.349078,-71.152148,0,2026-03-31 17:11:38,17,73584680,57,MBTA
y3203,42.351894,-71.120875,1,2026-03-31 17:11:44,28,73584554,57,MBTA
y3200,42.35343,-71.1376,1,2026-03-31 17:11:34,24,73584657,57,MBTA
y3285,42.352872,-71.13213,1,2026-03-31 17:11:40,15,73584004,66,MBTA
y3281,42.35258865356445,-71.13202667236328,0,2026-03-31 17:11:33,22,73583878,66,MBTA
y3278,42.343148,-71.122784,0,2026-03-31 17:11:34,18,73583882,66,MBTA
y3269,42.32918930053711,-71.08390045166016,0,2026-03-31 17:11:37,1,73583884,66,MBTA
